[0]	train-logloss:0.559582	validation-logloss:0.568859
[1]	train-logloss:0.510551	validation-logloss:0.526306
[2]	train-logloss:0.485687	validation-logloss:0.506296
[3]	train-logloss:0.471389	validation-logloss:0.498166
[4]	train-logloss:0.460524	validation-logloss:0.492514
[5]	train-logloss:0.453047	validation-logloss:0.487865
[6]	train-logloss:0.445992	validation-logloss:0.484283
[7]	train-logloss:0.439883	validation-logloss:0.481885
[8]	train-logloss:0.434073	validation-logloss:0.479511
[9]	train-logloss:0.428992	validation-logloss:0.477679
[10]	train-logloss:0.425059	validation-logloss:0.475793
[11]	train-logloss:0.422084	validation-logloss:0.474355
[12]	train-logloss:0.418243	validation-logloss:0.473400
[13]	train-logloss:0.413725	validation-logloss:0.471855
[14]	train-logloss:0.411250	validation-logloss:0.470998
[15]	train-logloss:0.407037	validation-logloss:0.469428
[16]	train-logloss:0.404275	validation-logloss:0.468494
[17]	train-logloss:0.402076	validation-logloss:0.468491
[18]	train-logloss:0.399456	validation-logloss:0.468134
[19]	train-logloss:0.397281	validation-logloss:0.467494
[20]	train-logloss:0.395549	validation-logloss:0.466832
[21]	train-logloss:0.393227	validation-logloss:0.465997
[22]	train-logloss:0.390877	validation-logloss:0.466250
[23]	train-logloss:0.388690	validation-logloss:0.466242
[24]	train-logloss:0.386385	validation-logloss:0.466193
[25]	train-logloss:0.384666	validation-logloss:0.464935
[26]	train-logloss:0.380737	validation-logloss:0.464336
[27]	train-logloss:0.378397	validation-logloss:0.464981
[28]	train-logloss:0.376704	validation-logloss:0.464330
[29]	train-logloss:0.373975	validation-logloss:0.464327
[30]	train-logloss:0.371814	validation-logloss:0.464244
[31]	train-logloss:0.370227	validation-logloss:0.464044
[32]	train-logloss:0.368189	validation-logloss:0.463479
[33]	train-logloss:0.365627	validation-logloss:0.463816
[34]	train-logloss:0.363855	validation-logloss:0.464616
[35]	train-logloss:0.362482	validation-logloss:0.464425
[36]	train-logloss:0.360904	validation-logloss:0.464714
[37]	train-logloss:0.359490	validation-logloss:0.464552
[38]	train-logloss:0.357827	validation-logloss:0.464613
[39]	train-logloss:0.356422	validation-logloss:0.463898
[40]	train-logloss:0.353201	validation-logloss:0.463349
[41]	train-logloss:0.351710	validation-logloss:0.463272
[42]	train-logloss:0.350195	validation-logloss:0.463131
[43]	train-logloss:0.348412	validation-logloss:0.462573
[44]	train-logloss:0.346990	validation-logloss:0.462278
[45]	train-logloss:0.345877	validation-logloss:0.462245
[46]	train-logloss:0.344301	validation-logloss:0.461538
[47]	train-logloss:0.343489	validation-logloss:0.461649
[48]	train-logloss:0.342039	validation-logloss:0.462166
[49]	train-logloss:0.340450	validation-logloss:0.462153
[50]	train-logloss:0.339249	validation-logloss:0.462605
[51]	train-logloss:0.337946	validation-logloss:0.462693
[52]	train-logloss:0.336983	validation-logloss:0.462623
[53]	train-logloss:0.335891	validation-logloss:0.462464
[54]	train-logloss:0.335106	validation-logloss:0.462712
[55]	train-logloss:0.334143	validation-logloss:0.462488
[56]	train-logloss:0.333064	validation-logloss:0.462595
[57]	train-logloss:0.332123	validation-logloss:0.462642
[58]	train-logloss:0.331118	validation-logloss:0.462484
[59]	train-logloss:0.330069	validation-logloss:0.462495
[60]	train-logloss:0.329111	validation-logloss:0.462545
[61]	train-logloss:0.327799	validation-logloss:0.462812
[62]	train-logloss:0.326699	validation-logloss:0.462189
[63]	train-logloss:0.325767	validation-logloss:0.461772
[64]	train-logloss:0.324907	validation-logloss:0.461662
[65]	train-logloss:0.324203	validation-logloss:0.461801
[66]	train-logloss:0.322550	validation-logloss:0.461836
[67]	train-logloss:0.321920	validation-logloss:0.461754
[68]	train-logloss:0.321305	validation-logloss:0.461842
[69]	train-logloss:0.320598	validation-logloss:0.461415
[70]	train-logloss:0.318679	validation-logloss:0.461577
[71]	train-logloss:0.317168	validation-logloss:0.461629
[72]	train-logloss:0.316379	validation-logloss:0.461491
[73]	train-logloss:0.315726	validation-logloss:0.461525
[74]	train-logloss:0.315196	validation-logloss:0.461516
[75]	train-logloss:0.314561	validation-logloss:0.461393
[76]	train-logloss:0.313599	validation-logloss:0.461331
[77]	train-logloss:0.312550	validation-logloss:0.461566
